"教材ID","教材シリーズ名","教材種別","対象","科目","提供","提供URL","URL","No","タイトル","公開日","長さ","機材","キーボード","月","単元名","ページ","サイト名","内容","注意事項など","言語","講師","教科"
"2","PCNチャンネル","動画","小中学生","プログラミング","PCN上田","https://pcn.club/channel/","https://www.youtube.com/embed/vLEuGA-6rlA",,"スカッシュゲームを作ろう（英語キーボード用）",,,"IchigoJam","英語",,,,,,,,,
"2","PCNチャンネル","動画","小中学生","プログラミング","PCN上田","https://pcn.club/channel/","https://www.youtube.com/embed/wkjPgSfISGs",,"8パズルゲームを作ろう",,,"IchigoJam",,,,,,,,,,
"2","PCNチャンネル","動画","小中学生","プログラミング","PCN幕張","https://pcn.club/channel/","https://www.youtube.com/embed/0RWu0eq2lCM",,"電子工作【後編】 ふしぎながっき おんがくワイヤーを作ろう！",,,"IchigoJam",,,,,,,,,,
"2","PCNチャンネル","動画","小中学生","プログラミング","PCN幕張","https://pcn.club/channel/","https://www.youtube.com/embed/7lxYfmh8PDY",,"電子工作【前編】いらいらぼうゲームをつくってみよう！",,,"IchigoJam",,,,,,,,,,
"2","PCNチャンネル","動画","小中学生","プログラミング","PCN上田","https://pcn.club/channel/","https://www.youtube.com/embed/agg57UlTs2M",,"IchigoJamをはんだ付けしよう",,,"IchigoJam,はんだごて",,,,,,,,,,
"3","イマギッシュとプログラミングをやってみよう","動画","小中学生","プログラミング","PCN","https://pcn.club/channel/","https://www.youtube.com/embed/5y7NomVCqvw",,"01 IchigoJamでなわとびさっちゃん",,,"IchigoJam",,,,,,,,,,
"3","イマギッシュとプログラミングをやってみよう","動画","小中学生","プログラミング","PCN","https://pcn.club/channel/","https://www.youtube.com/embed/x5fTYdXPPrI",,"02 IchigoJamでなわとびさっちゃん 改造 前編",,,"IchigoJam",,,,,,,,,,
"3","イマギッシュとプログラミングをやってみよう","動画","小中学生","プログラミング","PCN","https://pcn.club/channel/","https://www.youtube.com/embed/muBY_fhB0JA",,"02 IchigoJamでなわとびさっちゃん 改造 後編",,,"IchigoJam",,,,,,,,,,
"3","イマギッシュとプログラミングをやってみよう","動画","小中学生","プログラミング","PCN","https://pcn.club/channel/","https://www.youtube.com/embed/Ru0m_0QvXR0",,"03 IchigonQuestでぼうけんづくり その１",,,"IchigonQuest",,,,,,,,,,
"3","イマギッシュとプログラミングをやってみよう","動画","小中学生","プログラミング","PCN","https://pcn.club/channel/","https://www.youtube.com/embed/sogT5849cFc",,"03 IchigonQuestでぼうけんづくり その２",,,"IchigonQuest",,,,,,,,,,
